run_id,run_date,state,score,n_bull,n_bear,n_flags,spy_vs_200_pct,ma200_slope_pct,breadth_50_pct,breadth_200_pct,rsp_spy_pct,nhnl_pct,vix,vix_term,credit_pct,def_off_pct,flags
20260604,2026-06-05T02:07:27.843817+00:00,RISK-ON,6,6,0,0,11.2,1.73,56.0,59.0,-0.2,3.0,15.4,0.8,0.0,-3.2,
20260605,2026-06-05T13:21:46.086587+00:00,RISK-ON,6,6,0,0,11.2,1.73,56.0,58.0,-0.2,3.0,16.0,0.83,0.0,-3.4,
20260608,2026-06-09T00:00:43.791541+00:00,RISK-ON,5,6,1,1,8.4,1.72,53.0,58.0,1.5,0.0,18.9,0.91,0.4,2.2,Defensive rotation: defensives outran offensives over 20d by +2.2pp
20260609,2026-06-10T00:00:40.702758+00:00,CAUTION,5,6,1,2,8.0,1.72,59.0,61.0,2.9,5.0,19.9,0.93,0.2,3.7,Defensive rotation: defensives outran offensives over 20d by +3.7pp ; VIX 5-day spike +26%
20260610,2026-06-11T00:00:49.319447+00:00,CAUTION,3,4,1,2,6.2,1.7,52.0,59.0,3.1,0.0,22.2,0.97,-0.0,3.6,Defensive rotation: defensives outran offensives over 20d by +3.6pp ; VIX 5-day spike +38%
20260611,2026-06-12T00:44:28.896437+00:00,CAUTION,4,6,2,3,7.9,1.69,57.0,61.0,4.0,4.0,19.4,0.91,-0.3,2.2,Credit weakening: HYG/LQD -0.3%/20d — credit not confirming equities ; Defensive rotation: defensives outran offensives over 20d by +2.2pp ; VIX 5-day spike +26%
20260612,2026-06-13T00:00:41.696975+00:00,RISK-ON,6,7,1,1,8.4,1.68,61.0,62.0,4.8,7.0,17.7,0.86,-0.2,2.8,Defensive rotation: defensives outran offensives over 20d by +2.8pp
20260615,2026-06-16T00:00:52.214390+00:00,RISK-ON,8,8,0,0,10.3,1.68,63.0,63.0,3.4,4.0,16.2,0.84,-0.2,0.4,
20260616,2026-06-17T00:00:47.444788+00:00,CAUTION,6,8,2,2,9.5,1.67,66.0,64.0,3.0,5.0,16.4,0.84,-0.6,0.8,Credit weakening: HYG/LQD -0.6%/20d — credit not confirming equities ; Defensive rotation: defensives outran offensives over 20d by +0.8pp
20260617,2026-06-18T01:53:07.026732+00:00,RISK-ON,4,6,2,1,8.1,1.66,55.0,61.0,2.6,-1.0,18.4,0.89,-0.9,-0.7,Credit weakening: HYG/LQD -0.9%/20d — credit not confirming equities
20260622,2026-06-23T00:00:49.069085+00:00,RISK-ON,5,6,1,1,8.7,1.65,55.0,60.0,1.9,2.0,17.3,0.87,-0.4,0.4,Credit weakening: HYG/LQD -0.4%/20d — credit not confirming equities
20260623,2026-06-24T00:00:32.017261+00:00,CAUTION,4,6,2,3,7.0,1.63,60.0,61.0,2.9,3.0,19.5,0.93,-0.4,3.5,Credit weakening: HYG/LQD -0.4%/20d — credit not confirming equities ; Defensive rotation: defensives outran offensives over 20d by +3.5pp ; VIX 5-day spike +20%
20260624,2026-06-25T00:00:38.494828+00:00,CAUTION,5,7,2,2,6.9,1.6,64.0,63.0,3.9,5.0,18.6,0.91,-0.9,6.2,Credit weakening: HYG/LQD -0.9%/20d — credit not confirming equities ; Defensive rotation: defensives outran offensives over 20d by +6.2pp
20260626,2026-06-27T00:00:40.260562+00:00,CAUTION,4,6,2,2,6.1,1.55,65.0,65.0,4.7,10.0,18.4,0.91,-0.6,9.9,Credit weakening: HYG/LQD -0.6%/20d — credit not confirming equities ; Defensive rotation: defensives outran offensives over 20d by +9.9pp
20260629,2026-06-30T00:00:43.505011+00:00,CAUTION,5,7,2,2,7.8,1.53,65.0,63.0,4.3,8.0,17.6,0.9,-0.6,9.0,Credit weakening: HYG/LQD -0.6%/20d — credit not confirming equities ; Defensive rotation: defensives outran offensives over 20d by +9.0pp
20260630,2026-07-01T00:00:34.736987+00:00,RISK-ON,7,8,1,1,8.6,1.52,62.0,61.0,3.4,3.0,16.5,0.87,0.0,8.6,Defensive rotation: defensives outran offensives over 20d by +8.6pp
20260701,2026-07-02T00:00:48.454796+00:00,RISK-ON,7,8,1,1,8.4,1.5,64.0,64.0,3.6,8.0,16.6,0.87,0.0,7.8,Defensive rotation: defensives outran offensives over 20d by +7.8pp
